lake_comid,meandepth,lakevolume,maxdepth,meandused,meandcode,lakearea
724996,1.316359862,285528.5027,3.321112719,1.316359862,4,216907.6464
725004,0.078729889,1227.71289,0.175210146,0.078729889,4,15593.9868574
725012,1.054440791,11329.5564,2.265758418,1.054440791,4,10744.6059283
725014,5.711238921,1948948.87,13.08299821,5.711238921,4,341248.03129
725018,13.74357891,8748040.609,33.48665121,13.74357891,4,636518.276207
725020,6.86042099,364023.8396,13.61563157,6.86042099,4,53061.4307886
725022,2.070426574,411638.402,4.604370023,2.070426574,4,198818.151092
725024,0.807149257,13883.05126,1.923703672,0.807149257,4,17200.1045603
725028,0.88815019,15207.41247,2.153181274,0.88815019,4,17122.5728478
725032,0.394213839,5510.311564,0.900617573,0.394213839,4,13977.9721527
725034,0.380414782,38238.37282,0.965166833,0.380414782,4,100517.578018
725042,0.820515209,21975.94588,1.850991925,0.820515209,4,26783.1044893
725046,2.940684461,708972.8422,8.078531693,2.940684461,4,241091.108193
725048,1.423538904,188752.5888,3.717820919,1.423538904,4,132593.910062
725052,0.840161959,29645.01422,1.927279709,0.840161959,4,35284.8738226
725056,1.196843664,21125.27455,2.78232805,1.196843664,4,17650.8252518
725058,11.48766843,116615400.7,33.8420847,11.48766843,4,10151355.2829
725060,3.697696047,1324836.718,9.492401187,3.697696047,4,358287.070745
725070,0.861830735,45502.87247,1.521743036,0.861830735,4,52797.9225918
725074,2.389998638,23019713.76,6.968454592,2.389998638,4,9631685.52598
725078,3.103858128,241693.8754,6.090973162,3.103858128,4,77868.8525629
725080,0.646830192,84651.87514,1.447498558,0.646830192,4,130871.879171
725082,7.169016059,9086103.096,18.29513705,7.169016059,4,1267412.83115
725094,0.181997663,2691.985269,0.382526954,0.181997663,4,14791.3145895
725104,2.699659188,2837166.747,6.482028822,2.699659188,4,1050935.17064
802315,0.116201234,4955.788637,0.287486914,0.116201234,4,42648.3226644
802419,0.164249304,2125.003032,0.312636113,0.164249304,4,12937.6648539
4286993,1.625530363,54277.29243,3.518915074,1.625530363,4,33390.5125893
4286997,0.843659508,8915.517177,1.86588377,0.843659508,4,10567.6702057
803313,0.212162878,6085.606154,0.541333918,0.212162878,4,28683.6492277
803319,0.216571957,3992.701602,0.515613824,0.216571957,4,18435.9124361
803321,0.283963321,7589.930618,0.73596026,0.283963321,4,26728.5627388
803325,0.297618555,65124.52543,0.629585789,0.297618555,4,218818.712005
803327,0.590202814,17811.89061,1.30460756,0.590202814,4,30179.2713153
803329,0.30274993100000003,15918.18472,0.700671847,0.30274993100000003,4,52578.6687267
803331,0.097128738,3471.376272,0.225802486,0.097128738,4,35739.9546467
803335,0.20321092,39406.45815,0.496958203,0.20321092,4,193919.00081
803339,0.537740574,57977.01897,1.07431765,0.537740574,4,107815.945147
803347,1.594440944,72612.77406,2.887767945,1.594440944,4,45541.2234895
803359,0.510639248,13940.42091,1.053511935,0.510639248,4,27299.9347977
803361,0.254185782,12509.23736,0.6075339,0.254185782,4,49212.9699602
803363,0.092618109,1083.615729,0.189281129,0.092618109,4,11699.8265476
803365,0.05284534,1914.320621,0.109959008,0.05284534,4,36224.945894900004
803367,1.283504767,218420.4829,3.013553505,1.283504767,4,170175.04742
803371,4.561953935,4527392.982,10.3681104,4.561953935,4,992424.131951
803379,7.187264293,29421877.6,19.81348663,7.187264293,4,4093612.93873
803381,1.5597526,31234.77588,3.847355336,1.5597526,4,20025.4712363
803393,0.329073844,59456.24319,0.791690714,0.329073844,4,180677.490885
803395,2.696954556,954522.8051,5.886071496,2.696954556,4,353926.171206
803401,0.201537199,12161.53935,0.451178079,0.201537199,4,60343.8803951
