stream_comid,q_cfs,q_cms,mean_reach_depth
7690361,3.94,0.11156837557248,0.10945307739826393
7690363,26.724,0.7567394083246081,0.23386395793278275
7690365,9.137,0.25873102731110403,0.1527949120528171
7690367,1.283,0.036330514177536,0.0701417936073565
7690369,8.018,0.22704447597465602,0.1450797409260161
7690371,1.177,0.033328928438784,0.06778352036484997
7690373,12.809,0.362710487996928,0.1747007275702259
7690375,1.164,0.032960809433088,0.06748560213194571
7690377,3.554,0.10063807278796799,0.10506757418788147
7690379,2.371,0.067139243269632,0.08948536821911957
7690381,156.065,4.41926866338048,0.47088964805988703
7690383,17.564,0.497357093541888,0.19800302574576503
7690385,1.415,0.040068337927680005,0.07291958347218334
7690387,1.622,0.045929925172224,0.0769768867002927
7690389,1.157,0.032762591506944,0.06732435251869165
7690391,303.181,8.585129866609151,0.6127695568634981
7690393,17.623,0.49902778749081605,0.1982665457256933
7690395,0.344,0.009740995227648,0.04161532144021835
7690397,0.798,0.022596843580416002,0.05810165749392604
7690399,36.315,1.02832628398848,0.2641096696631329
7690401,8.549,0.24208072151500798,0.14881674114734417
7690403,3.942,0.111625009265664,0.10947510909588735
7690405,1.63,0.046156459944959996,0.07712723799118994
7690407,41.631,1.178858640471552,0.2788142041899451
7690409,1.457,0.041257645484544005,0.0737704161552954
7690411,35.586,1.007683302822912,0.2619940906270649
7690413,16.559,0.46889866271692804,0.19342967480678613
7690415,4.363,0.12354640168089602,0.11397064094518224
7690417,44.354,1.2559654137415681,0.2859089302270891
7690419,9.68,0.27410707501056,0.15633360471483387
7690421,1.453,0.041144378098176004,0.07369002736774759
7690423,1.786,0.050573888013312,0.07997428390283555
7690425,3.305,0.09358717798656001,0.10208397623198015
7690427,3.068,0.086876085344256,0.09911537058150303
7690429,29.143,0.825237860230656,0.24204073397373074
7690431,1.428,0.040436456933376,0.07318454586910161
7690433,309.848,8.773918282838016,0.6180786589397399
7690435,22.373,0.633532808802816,0.2179489604375277
7690437,47.624,1.348561502097408,0.29408976819783245
7690439,54.876,1.553915273582592,0.31109515957123046
7690441,1.158,0.032790908353536,0.06734742415127341
7690443,2.718,0.076965189037056,0.0944664310549136
7690445,352.413,9.979224858026496,0.6504515708662871
7690447,1.052,0.029789322614784,0.06483143247305896
7690449,0.439,0.012431095653888,0.04584116053754715
7690451,2.624,0.074303405457408,0.09315694342362413
7690453,364.979,10.335054352301567,0.6595528710529175
7690455,4.753,0.134589971851776,0.11790700567980744
7690457,1.232,0.034886355001344,0.06902245176333899
7690459,1.163,0.032932492586496005,0.06746260236371221
7690461,0.373,0.010562183778816,0.042972824315011246
7690463,13.828,0.39156535467417597,0.18008574700125585
7690465,317.435,8.98875819793152,0.6240371902662639
7690467,319.826,9.056463778132994,0.6258971513735619
7690469,74.068,2.097372193376256,0.3503883663674946
7690471,75.505,2.13806350192896,0.35306880082996095
7690473,8.813,0.24955636901529601,0.15062264246148413
7690475,3.551,0.100553122248192,0.10503239094354194
7690477,7.522,0.212999320065024,0.14145163558292692
7690479,253.618,7.181661998969856,0.5708894170867488
7690481,2.83,0.08013667585536001,0.09599147730787487
7690483,96.027,2.719181827689984,0.3883929894539536
7690485,0.065,0.00184059502848,0.021490949934509878
7690487,1.093,0.030950313325056,0.0658219783612473
7690489,1.069,0.030270709006848,0.06524492452433005
7690491,0.989,0.028005361279488,0.06326288953235579
7690493,1.326,0.037548138580992006,0.07106486524126872
7690495,30.091,0.8520822307998721,0.2451332024592751
7690497,0.248,0.007022577954816,0.03655053277606767
7690499,0.418,0.011836441875455999,0.04495859064078291
7690501,96.63,2.73625688618496,0.3893584337884869
7690503,8.577,0.24287359321958402,0.1490098573037037
7690507,1.662,0.047062599035904,0.07772423165346908
7690509,0.803,0.022738427813376,0.05824576590911775
7690511,1.032,0.029222985682944,0.06433977578747706
7690513,0.345,0.00976931207424,0.04166325802099905
7690515,1.224,0.034659820228608,0.06884434708780376
7690517,12.293,0.348098995155456,0.17187491287877557
7690519,2.601,0.073652117985792,0.09283224191447847
7690521,1.144,0.032394472501247995,0.06702331995004655
7690523,268.665,7.607745589639681,0.58408935947837
7690525,258.721,7.326162867128832,0.5754177042014695
7690527,0.481,0.013620403210752,0.047532746871111156
7690529,0.462,0.013082383125504,0.046779026829133666
7690531,7.247,0.205212187252224,0.1393775870569716
7690533,259.149,7.338282477470208,0.5757950429448128
7690535,265.327,7.513223955715584,0.5812003897932537
7690537,5.539,0.156847013273088,0.12528499344592878
7690539,0.212,0.006003171477504,0.03434622239005215
7690541,336.857,9.538727992441345,0.6389091250186928
7690543,2.832,0.08019330954854399,0.09601837632257597
7690545,273.165,7.735171399303681,0.5879499413404841
7690547,276.472,7.828815210983423,0.5907626404774492
7690549,3.369,0.09539945616844801,0.10286344759432046
7690551,7.203,0.20396624600217603,0.13904135628997472
7690553,7.294,0.206543079042048,0.13973538479346725
7690555,337.328,9.552065227186176,0.63926327239238
7690557,6.811,0.192866042138112,0.13598957305823683
7690559,4.757,0.134703239238144,0.11794634929504676
7690561,130.318,3.6901948141762566,0.438394324091087
7690563,36.657,1.0380106455229439,0.2650933354080176
7690565,98.327,2.784310574851584,0.3920560889960863
7690573,0.472,0.013365551591424,0.04717800497458601
7690575,2.337,0.06617647048550401,0.08897422637276473
7690577,99.197,2.8089462313866242,0.3934282085864493
7690581,1.155,0.032705957813760005,0.06727817313037521
7690583,0.884,0.025032092387328002,0.06050860540609612
7690585,3.957,0.112049761964544,0.1096401322496009
7690587,25.011,0.708232650112512,0.22779959733912947
7690589,345.027,9.770076629097984,0.6450103856715271
7690591,3.438,0.097353318583296,0.10369387021560408
7690593,282.986,8.013271149683712,0.5962441822805266
7690595,1.208,0.034206750683136,0.06848601889462916
7690597,6.97,0.19736842074624,0.13723986904509577
7690599,2.295,0.06498716292864,0.08833658176839558
7690601,0.685,0.01939703991552,0.05468762409341085
7690603,1.11,0.03143169971712,0.06622611342120482
7690605,4.391,0.124339273385472,0.11426016170150359
7690607,0.693,0.019623574688256,0.05494004060115317
7690609,2.326,0.06586498517299201,0.08880789707742644
7690611,350.233,9.917494132455936,0.6488528056135627
7690613,2.28,0.06456241022975999,0.08810714637858566
7690615,2.21,0.06258023096832,0.08702422231352529
7690619,0.686,0.019425356762112003,0.05471927309553315
7690621,3.565,0.10094955810048001,0.10519642632214503
7690623,0.862,0.024409121762304,0.05990683241716972
7690625,347.993,9.854064396089855,0.647203770410018
7690627,10.872,0.307860756148224,0.16370219420081966
7690629,467.497,13.238040831220225,0.7275929100588563
7690631,11.479,0.325049082029568,0.16726771484010777
7690633,0.978,0.027693875966976,0.06298288716132902
7690635,26.323,0.7453843528412161,0.23246586379327
7690637,1.515,0.04290002258688,0.07492138986561975
7690639,5.395,0.15276938736384,0.12398295522449419
7690641,0.811,0.022964962586112,0.05847521751506901
7690643,2.254,0.063826172218368,0.08770729086519005
7690645,2.174,0.061560824491008,0.08645921909680448
7690647,7.876,0.22302348375859202,0.1440552262107969
7690649,271.307,7.682558698335745,0.5863606362942553
7690651,3.547,0.10043985486182401,0.10498545204021269
7690653,0.702,0.019878426307584,0.05522191636227499
7690655,272.367,7.712574555723265,0.587268145890738
7690657,0.512,0.014498225455104001,0.04872486468570584
7690659,286.949,8.125490812727808,0.5995418799689372
7690661,385.326,10.911217229908994,0.6738972507000506
7690663,2.742,0.077644793355264,0.09479637406989194
7690665,8.006,0.226704673815552,0.1449935878304284
7690667,4.29,0.12147927187968001,0.11321050750293178
7690669,290.312,8.220720367816705,0.6023188144466163
7690671,7.848,0.222230612054016,0.1438518966594199
7690673,1.933,0.054736464462336,0.08252275692769263
7690675,9.085,0.25725855128832004,0.1524494433999891
7690677,298.28,8.44634900146176,0.6088216768189348
7690679,962.989,27.26881178278349,0.9690772387986389
7690681,0.975,0.0276089254272,0.06290619339413817
7690683,27.209,0.770473078921728,0.23553810934568356
7690685,0.886,0.025088726080512002,0.06056286185936021
7690687,4.067,0.11516461508966401,0.11083892677308117
7690689,0.512,0.014498225455104001,0.04872486468570584
7690691,3.198,0.090557275401216,0.10076018870680226
7690695,1.792,0.050743789092864006,0.0800807308603486
